PLAYER,PTS,TREB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
"Gary Trent Jr. (TOR - SG,SF) ","1,016",204,107,16,73,0.403,0.783,193,75,"2,206",54
"Will Barton (DEN - SG,SF) ","1,015",299,229,29,64,0.435,0.792,136,72,"2,312",123
Cole Anthony (ORL - PG) ,"1,000",302,314,28,51,0.404,0.828,113,75,"2,110",181
"Jordan Poole (GSW - PG,SG) ",992,163,172,15,45,0.428,0.864,167,75,"1,697",90
"Duncan Robinson (MIA - SG,SF) ",990,246,117,19,44,0.444,0.87,257,79,"2,364",80
"Kelly Oubre Jr. (CHA - SG,SF,PF) ",988,347,90,44,67,0.439,0.733,114,75,"2,036",86
"Lauri Markkanen (CLE - PF,C) ",984,372,77,24,40,0.46,0.828,162,71,"2,002",82
"Eric Bledsoe (LAC - PG,SG) ",976,256,288,22,73,0.434,0.753,125,77,"2,148",130
Jusuf Nurkic (POR - C) DTD ,973,679,212,92,69,0.5,0.735,19,70,"1,973",155
"P.J. Washington (CHA - PF,C) ",972,475,172,87,78,0.448,0.736,130,77,"2,297",132
"Rui Hachimura (WAS - SF,PF) OUT ",971,410,114,13,55,0.468,0.79,56,72,"2,217",88
"Miles Bridges (CHA - SF,PF) ",971,475,166,60,50,0.486,0.854,131,79,"2,276",121
"Aaron Gordon (DEN - SF,PF) ",970,408,226,53,55,0.464,0.682,91,73,"2,213",136
"Devonte' Graham (NOR - PG,SG) ",962,210,372,9,63,0.381,0.83,197,73,"2,138",125
"Mikal Bridges (PHO - SG,SF) ",961,322,156,62,89,0.522,0.833,137,79,"2,484",64
"Marvin Bagley III (SAC - PF,C) ",959,479,66,44,34,0.511,0.681,49,70,"1,827",94
"Montrezl Harrell (WAS - PF,C) ",959,461,91,55,49,0.598,0.678,11,74,"1,632",84
Dennis Schroder (BOS - PG) ,954,235,314,12,62,0.437,0.837,86,75,"2,049",157
"Blake Griffin (BKN - PF,C) ",938,342,233,24,43,0.456,0.76,117,72,"1,945",126
Jarrett Allen (CLE - C) ,938,690,117,111,40,0.613,0.697,4,77,"2,289",115
"Danilo Gallinari (ATL - SF,PF) ",933,272,109,13,42,0.44,0.916,145,71,"1,712",66
"Myles Turner (IND - PF,C) ",928,499,78,216,60,0.478,0.759,98,74,"2,291",114
"T.J. Warren (IND - SF,PF) OUT ",927,258,80,28,49,0.517,0.796,69,54,"1,646",64
"Jalen Brunson (DAL - PG,SG) ",920,231,250,5,37,0.526,0.834,86,75,"1,773",86
"Nickeil Alexander-Walker (NOR - SG,SF,PG) ",918,255,176,33,84,0.419,0.739,134,73,"1,895",123
"Luguentz Dort (OKC - SG,SF) ",893,260,110,22,63,0.386,0.744,128,75,"2,189",105
"Jae'Sean Tate (HOU - SF,PF) ",892,378,193,35,93,0.513,0.72,69,77,"2,298",112
"Bobby Portis Jr. (MIL - PF,C) ",883,414,82,37,57,0.502,0.736,84,76,"1,747",69
Brook Lopez (MIL - C) ,879,367,58,114,43,0.493,0.824,98,74,"2,059",74
Wendell Carter Jr. (ORL - C) ,878,636,128,69,49,0.512,0.737,14,74,"2,146",111
"Joe Ingles (UTH - SG,SF,PF) ",874,276,342,15,61,0.46,0.83,195,77,"2,213",131
"Seth Curry (PHI - PG,SG) ",873,188,171,11,59,0.478,0.853,157,73,"2,101",79
"Marcus Smart (BOS - PG,SG) ",868,255,382,34,106,0.407,0.796,134,72,"2,328",145
"Derrick Rose (NYK - PG,SG) ",866,192,241,21,51,0.474,0.883,55,67,"1,573",105
"Eric Gordon (HOU - SG,SF) ",866,184,138,28,36,0.433,0.803,135,70,"1,761",97
"Thaddeus Young (SAS - PF,C,SF) ",847,370,264,40,83,0.533,0.612,23,74,"1,740",127
"Klay Thompson (GSW - SG,SF) OUT ",844,217,92,22,42,0.454,0.826,135,46,"1,392",63
Ben Simmons (PHI - PG) ,834,432,417,31,105,0.57,0.606,3,64,"1,989",171
"Tyrese Maxey (PHI - PG,SG) ",833,168,253,19,44,0.46,0.827,51,74,"1,640",76
"Goran Dragic (TOR - PG,SG) ",824,214,260,9,45,0.427,0.816,118,68,"1,667",134
"Josh Richardson (BOS - SG,SF) ",821,231,178,31,67,0.431,0.891,107,71,"2,004",89
"Kelly Olynyk (DET - PF,C) ",821,405,166,41,66,0.478,0.83,119,75,"1,922",114
"Isaac Okoro (CLE - SG,SF) ",813,241,143,24,76,0.433,0.731,87,78,"2,541",95
"Cameron Johnson (PHO - SF,PF) ",809,271,104,23,52,0.432,0.833,167,76,"1,997",58
"Kyle Anderson (MEM - SF,PF) ",809,409,237,55,87,0.46,0.763,84,76,"2,007",90
"Terance Mann (LAC - SF,SG) ",803,323,183,22,49,0.492,0.836,69,77,"1,956",76
"Chris Boucher (TOR - PF,C) OUT ",796,442,60,112,35,0.499,0.767,88,72,"1,624",49
"Monte Morris (DEN - PG,SG) ",790,166,253,17,57,0.478,0.81,90,74,"1,948",54
James Wiseman (GSW - C) OUT ,789,396,56,69,21,0.507,0.651,22,69,"1,623",104
"Aleksej Pokusevski (OKC - SF,PF) ",785,382,175,72,37,0.382,0.753,121,74,"2,030",176
"Shake Milton (PHI - PG,SG) ",773,194,181,18,48,0.466,0.837,83,74,"1,480",98
"Carmelo Anthony (LAL - SF,PF) ",773,270,107,24,50,0.431,0.856,104,77,"1,664",82
"Serge Ibaka (FA - PF,C) FA ",768,464,99,66,18,0.513,0.795,69,69,"1,596",81
"Desmond Bane (MEM - PG,SG,SF) ",763,247,145,17,49,0.463,0.824,145,76,"1,801",76
"Lonnie Walker IV (SAS - SG,SF) ",762,204,121,15,38,0.41,0.823,102,76,"1,804",91
"Jae Crowder (PHO - SF,PF) ",760,359,155,31,61,0.407,0.761,178,75,"2,093",69
"Robert Covington (POR - PF,C,SF) ",760,491,112,75,101,0.426,0.767,159,78,"2,410",77
John Wall (HOU - PG) ,753,165,274,33,46,0.421,0.749,72,50,"1,309",137
"Patrick Williams (CHI - SF,PF) OUT ",748,343,114,51,72,0.488,0.737,71,73,"2,244",106
"Coby White (CHI - PG,SG) OUT ",743,217,205,10,32,0.417,0.854,120,63,"1,507",100
"Luke Kennard (LAC - SG,SF) ",742,216,143,13,34,0.458,0.839,139,75,"1,750",66
"Jeff Green (DEN - SF,PF) ",741,274,99,29,36,0.477,0.79,98,77,"1,683",61
"Dorian Finney-Smith (DAL - SF,PF) ",739,403,112,34,59,0.474,0.763,138,77,"2,294",66
"Kevin Huerter (ATL - SG,SF) ",727,231,207,19,71,0.451,0.779,128,78,"2,001",75
Patty Mills (BKN - PG) ,725,135,142,9,41,0.43,0.887,171,78,"1,658",69
"De'Anthony Melton (MEM - PG,SG) ",724,255,201,38,91,0.425,0.808,129,71,"1,592",101
"Alec Burks (NYK - SG,SF) ",722,273,122,19,38,0.421,0.862,114,69,"1,532",75
"Evan Mobley (CLE - C,PF) ",722,394,115,94,45,0.498,0.707,29,73,"1,964",119
"Isaiah Stewart (DET - PF,C) ",710,578,86,109,51,0.546,0.746,28,75,"1,955",87
"Gary Harris (ORL - SG,SF) ",709,227,110,19,58,0.395,0.793,90,70,"2,026",75
"Otto Porter Jr. (GSW - SF,PF) ",708,351,128,14,55,0.447,0.831,111,69,"1,579",67
"Talen Horton-Tucker (LAL - SG,SF) ",704,208,194,21,76,0.473,0.749,52,74,"1,568",124
"Victor Oladipo (MIA - SG,SF) ",703,182,167,12,51,0.416,0.762,88,54,"1,248",94
Jakob Poeltl (SAS - C) ,699,632,165,134,54,0.623,0.552,1,78,"2,081",98
Andre Drummond (PHI - C) ,698,493,89,72,73,0.53,0.586,0,74,"1,383",107
Mo Bamba (ORL - C) ,695,524,75,127,32,0.468,0.679,68,73,"1,785",84
"Kenyon Martin Jr. (HOU - SF,PF) ",691,403,77,69,48,0.524,0.692,55,76,"1,700",56
"Danny Green (PHI - SG,SF) ",686,276,120,46,88,0.422,0.796,166,75,"2,030",70
"Cameron Payne (PHO - PG,SG) ",680,189,275,22,54,0.474,0.864,97,74,"1,416",81
Chuma Okeke (ORL - PF) ,679,312,170,43,89,0.417,0.759,93,72,"2,083",66
"Cam Reddish (ATL - SG,SF) ",671,286,88,27,69,0.408,0.82,94,76,"1,810",92
"Jaden McDaniels (MIN - PF,SF) ",666,350,95,86,56,0.453,0.653,114,77,"2,227",70
"Isaiah Roby (OKC - C,PF) ",662,396,130,44,71,0.471,0.755,44,74,"1,772",139
Ivica Zubac (LAC - C) ,661,550,79,71,25,0.626,0.771,0,76,"1,699",84
"Al Horford (BOS - PF,C) ",657,410,198,56,46,0.474,0.828,80,71,"1,627",58
"Killian Hayes (DET - PG,SG) DTD ",654,219,408,30,83,0.382,0.85,67,73,"2,075",239
"Justin Holiday (IND - SG,SF) ",654,246,106,36,74,0.411,0.786,145,79,"1,967",53
"Rudy Gay (UTH - SF,PF) ",652,296,93,31,45,0.437,0.805,92,71,"1,389",80
Naz Reid (MIN - C) ,651,271,60,61,32,0.492,0.691,62,74,"1,173",57
"Mason Plumlee (CHA - PF,C) ",648,548,223,63,54,0.587,0.628,1,72,"1,785",120
"Josh Hart (NOR - SG,SF) ",644,476,136,24,66,0.437,0.758,99,72,"2,012",75
"Brandon Clarke (MEM - SF,PF,C) ",644,388,93,48,59,0.538,0.703,25,73,"1,459",40
Steven Adams (MEM - C) ,644,621,117,58,71,0.604,0.489,1,75,"2,007",102
