,PLAYER,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO,FGA,FTA
38,Desmond Bane,1456,340,233,27,94,0.462,0.903,237,76,2405,123,14.5,2.0
39,Klay Thompson,1454,285,191,36,41,0.438,0.892,247,67,2144,103,17.9,1.6
40,Collin Sexton,1450,237,305,14,76,0.454,0.803,111,74,2372,190,10.75639810426539,2.6464454976303333
41,Jordan Poole,1443,268,313,22,65,0.447,0.92,217,77,2365,198,13.9,3.5
42,Keldon Johnson,1442,461,178,16,58,0.467,0.772,181,71,2429,112,13.5,3.1
43,Jalen Brunson,1441,293,485,2,69,0.493,0.836,116,77,2629,140,12.8,2.7
44,Tyrese Maxey,1429,234,296,28,60,0.476,0.859,159,76,2649,96,13.3,3.3
45,Tyrese Haliburton,1428,308,705,43,129,0.474,0.85,179,77,2716,205,11.8,2.5
46,Saddiq Bey,1418,421,211,18,69,0.42,0.831,235,79,2639,98,13.9,3.1
47,Khris Middleton,1413,377,372,17,80,0.461,0.902,169,68,2228,196,15.5,4.4
48,Domantas Sabonis,1407,882,419,39,72,0.552,0.74,46,72,2490,227,12.5,5.4
49,Bam Adebayo,1404,734,280,72,94,0.558,0.765,5,72,2405,208,10.75639810426539,2.6464454976303333
50,Dejounte Murray,1387,467,455,23,138,0.459,0.801,99,73,2531,182,18.3,3.6
51,Fred VanVleet,1361,289,449,32,108,0.404,0.873,248,68,2506,169,16.9,3.4
52,Paolo Banchero,1346,588,261,65,73,0.464,0.74,90,74,2387,201,10.75639810426539,2.6464454976303333
53,Nikola Vucevic,1345,787,231,70,70,0.47,0.776,111,74,2395,135,15.8,1.7
54,Anfernee Simons,1335,216,256,9,43,0.436,0.873,230,70,2331,151,14.0,2.0
55,Andrew Wiggins,1326,363,174,57,79,0.458,0.646,172,76,2496,121,14.0,3.2
56,Bojan Bogdanovic,1325,312,126,14,40,0.451,0.846,191,73,2279,129,13.4,3.8
57,Scottie Barnes,1310,572,308,57,88,0.493,0.743,82,75,2701,143,12.6,2.9
58,Jimmy Butler,1308,373,339,28,100,0.479,0.874,36,61,2086,137,10.75639810426539,2.6464454976303333
59,Jrue Holiday,1302,324,481,31,120,0.488,0.736,141,71,2365,199,14.2,2.7
60,Dillon Brooks,1290,228,168,22,75,0.425,0.84,120,68,2018,116,10.75639810426539,2.6464454976303333
61,Gary Trent Jr.,1288,200,151,20,108,0.416,0.845,214,72,2466,79,15.5,2.9
62,Franz Wagner,1279,364,213,36,75,0.456,0.867,119,78,2459,123,12.3,2.8
63,Jamal Murray,1266,266,296,21,75,0.449,0.845,160,67,2169,132,10.75639810426539,2.6464454976303333
64,Kristaps Porzingis,1265,531,133,99,44,0.471,0.867,98,60,1840,111,10.75639810426539,2.6464454976303333
65,Deandre Ayton,1260,732,107,63,48,0.633,0.732,12,71,2205,118,12.0,2.4
66,Russell Westbrook III,1245,477,455,20,65,0.441,0.669,66,76,2309,252,10.75639810426539,2.6464454976303333
67,Buddy Hield,1236,345,267,25,70,0.418,0.843,252,75,2404,137,13.6,1.6
68,Kevin Porter Jr.,1232,314,454,27,86,0.425,0.694,195,69,2250,229,13.2,3.2
