,PLAYER,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO,FGA,FTA
280,John Konchar,400,349,110,26,59,0.492,0.586,63,73,1416,64,3.6,0.7
281,JaMychal Green,398,337,70,27,43,0.456,0.834,41,69,1178,66,4.9,1.4
282,Ricky Rubio,392,107,228,6,52,0.373,0.847,50,43,955,79,10.75639810426539,2.6464454976303333
283,Serge Ibaka,387,273,48,35,14,0.494,0.74,31,53,910,47,10.75639810426539,2.6464454976303333
284,Torrey Craig,380,303,73,30,41,0.448,0.764,63,65,1174,50,5.7,0.7
285,Matisse Thybulle,369,181,83,70,108,0.474,0.718,46,71,1619,46,4.5,0.7
286,George Hill,368,190,132,7,47,0.439,0.898,55,59,1227,49,10.75639810426539,2.6464454976303333
287,Austin Rivers,368,146,106,9,44,0.404,0.677,78,71,1289,49,5.2,0.7
288,Mike Muscala,366,178,34,30,22,0.448,0.817,72,56,707,23,10.75639810426539,2.6464454976303333
289,Aaron Nesmith,361,162,46,11,31,0.417,0.801,67,62,990,49,10.75639810426539,2.6464454976303333
290,Nikola Jovic,353,143,57,17,22,0.426,0.764,55,57,865,36,10.75639810426539,2.6464454976303333
291,Juan Toscano-Anderson,353,190,151,18,57,0.495,0.585,47,71,1186,80,3.2,1.0
292,Damion Lee,352,184,56,5,29,0.434,0.885,57,51,961,30,6.1,1.2
293,Joe Ingles,349,131,148,3,21,0.435,0.799,78,42,1011,47,10.75639810426539,2.6464454976303333
294,Cam Reddish,348,117,41,14,34,0.38,0.884,51,54,808,44,10.75639810426539,2.6464454976303333
295,Cory Joseph,341,114,132,10,28,0.438,0.875,36,59,930,59,6.2,1.7
296,Ish Smith,339,117,192,16,38,0.418,0.626,24,61,975,59,6.6,0.4
297,Daniel Theis,336,244,46,31,19,0.528,0.697,21,51,781,41,10.75639810426539,2.6464454976303333
298,Dyson Daniels,331,148,113,23,47,0.442,0.77,41,63,983,58,10.75639810426539,2.6464454976303333
299,Frank Kaminsky III,321,195,61,16,19,0.47,0.738,26,49,708,27,10.75639810426539,2.6464454976303333
300,Raul Neto,318,209,119,4,40,0.477,0.785,30,51,798,45,6.3,1.5
301,Johnny Davis,313,106,44,10,30,0.433,0.769,20,49,757,51,10.75639810426539,2.6464454976303333
302,Derrick Favors,313,255,38,31,25,0.529,0.702,8,54,885,26,10.75639810426539,2.6464454976303333
303,Maurice Harkless,309,168,47,34,47,0.457,0.701,39,67,1233,40,10.75639810426539,2.6464454976303333
304,R.J. Hampton Jr.,299,170,92,9,27,0.381,0.639,42,52,851,52,10.75639810426539,2.6464454976303333
305,David Nwaba,297,170,42,24,37,0.466,0.694,25,51,788,28,10.75639810426539,2.6464454976303333
306,Malachi Flynn,292,131,105,6,35,0.395,0.728,47,53,829,30,10.75639810426539,2.6464454976303333
307,Blake Griffin,291,163,68,12,18,0.42,0.736,42,46,738,30,10.75639810426539,2.6464454976303333
308,Jordan McLaughlin,286,125,198,9,60,0.427,0.749,36,63,1020,54,3.2,0.6
309,Usman Garuba,283,316,71,46,43,0.492,0.721,20,69,1105,37,10.75639810426539,2.6464454976303333
310,TyTy Washington Jr.,280,102,113,9,30,0.439,0.721,38,58,798,45,10.75639810426539,2.6464454976303333
311,Danilo Gallinari,274,183,34,4,9,0.433,0.905,40,55,1284,20,9.0,2.4
312,Gorgui Dieng,271,265,48,28,25,0.471,0.785,39,48,616,38,10.75639810426539,2.6464454976303333
313,Saben Lee,268,102,152,13,42,0.398,0.735,25,59,804,54,10.75639810426539,2.6464454976303333
314,Khem Birch,268,247,53,29,31,0.493,0.72,3,61,985,31,10.75639810426539,2.6464454976303333
315,Kira Lewis Jr.,233,78,82,3,23,0.416,0.832,28,43,566,38,10.75639810426539,2.6464454976303333
316,Nerlens Noel,229,418,49,73,51,0.576,0.733,1,52,928,54,10.75639810426539,2.6464454976303333
317,Garrett Temple,228,149,58,16,27,0.367,0.709,44,48,734,31,5.0,0.7
318,Eric Paschall,225,166,34,4,7,0.499,0.757,22,40,453,24,4.1,1.5
319,Edmond Sumner,206,57,31,6,16,0.515,0.79,19,38,488,26,10.75639810426539,2.6464454976303333
320,Dennis Smith Jr.,195,77,112,10,35,0.393,0.681,18,39,595,50,10.75639810426539,2.6464454976303333
321,Andre Iguodala,148,98,88,14,29,0.382,0.668,26,49,642,32,10.75639810426539,2.6464454976303333
322,Danny Green,40,17,7,3,6,0.403,0.772,10,7,132,5,5.2,0.2
