RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
116,Darius BazleyOKC,PF,69,27.9,10.8,4,9.4,42.2,1.2,3.9,29.7,1.7,2.5,68.8,6.3,1.4,0.8,1,1.3,7,0,12.62
117,Jae'Sean TateHOU,SF,78,26.4,11.8,4.7,9.3,49.8,0.8,2.6,31.2,1.7,2.4,70.7,5.4,2.8,0.9,0.5,1.8,7,0,14.36
118,Immanuel QuickleyNY,SG,78,23.1,11.3,3.6,9.3,39.2,1.8,5.1,34.6,2.3,2.6,88.1,3.2,3.5,0.7,0,1.3,4,2,14.59
119,Cameron JohnsonPHX,SF,66,26.2,12.5,4.2,9.2,46,2.5,5.9,42.5,1.5,1.7,86,4.1,1.5,0.9,0.2,0.7,0,0,15.26
120,Duncan RobinsonMIA,SG,79,25.9,10.9,3.7,9.2,39.9,2.9,7.9,37.2,0.6,0.8,83.6,2.6,1.6,0.5,0.2,0.8,0,0,10.65
121,Luke KennardLAC,SG,70,27.4,11.9,4.1,9.1,44.9,2.7,6,44.9,1,1.1,89.6,3.3,2.1,0.6,0.1,0.9,1,0,13.31
122,Doug McDermottSA,SF,51,24,11.3,4.2,9.1,46.2,2.1,5,42.2,0.8,1,78.4,2.3,1.3,0.3,0.1,0.8,0,0,11.47
123,Frank JacksonDET,PG,53,22,10.6,3.7,9.1,40.2,1.6,5.3,30.8,1.6,2,82.7,1.6,1,0.5,0.2,0.7,0,0,10.67
124,Hamidou DialloDET,SG,58,21.9,11,4.5,9.1,49.6,0.4,1.6,24.7,1.6,2.4,65,4.8,1.3,1.2,0.3,1,5,0,15.77
125,Gary HarrisORL,SG,61,28.4,11.1,3.9,9.1,43.4,1.9,5,38.4,1.4,1.6,87.4,2,1.8,1,0.1,1,0,0,10.89
126,Danilo GallinariATL,PF,66,25.3,11.7,3.9,9,43.4,1.7,4.5,38.1,2.1,2.4,90.4,4.7,1.5,0.4,0.2,0.6,2,0,14.35
127,Alec BurksNY,SG,81,28.6,11.7,3.5,9,39.1,1.9,4.8,40.4,2.7,3.3,82.2,4.9,3,1,0.3,1.1,2,0,13.72
128,Talen Horton-TuckerLAL,SG,60,25.2,10,3.7,9,41.6,0.8,3,26.9,1.7,2.1,80,3.2,2.7,1,0.5,1.4,1,0,11.07
129,Justin HolidayIND/SAC,SF,74,27.8,10.1,3.5,8.9,39.4,2.4,6.5,36.7,0.7,0.8,80.6,2.6,1.7,0.8,0.4,0.9,0,0,9.56
130,Terrence RossORL,SG,63,23,10,3.5,8.8,39.7,1.2,4.2,29.2,1.8,2.1,86.2,2.6,1.8,0.4,0.2,1.2,0,0,10.07
131,Mo BambaORL,C,71,25.7,10.6,4.2,8.7,48,1.5,4,38.1,0.8,1,78.1,8.1,1.2,0.5,1.7,1.1,20,0,16.5
132,Cedi OsmanCLE,SF,66,22.2,10.7,3.7,8.7,43.2,1.9,5.4,35.7,1.3,2,66.4,2.2,2,0.8,0.2,1,0,0,13.33
133,Dorian Finney-SmithDAL,PF,80,33.1,11,4.1,8.7,47.1,2.2,5.4,39.5,0.7,1,67.5,4.7,1.9,1.1,0.5,1,1,0,12.56
134,Grayson AllenMIL,SG,66,27.3,11.1,3.9,8.6,44.8,2.4,5.9,40.9,1,1.1,86.5,3.4,1.5,0.7,0.3,0.7,0,0,12.77
135,Terance MannLAC,SG,81,28.6,10.8,4.1,8.5,48.4,0.9,2.6,36.5,1.6,2,78,5.2,2.6,0.7,0.3,1,6,0,13.4
136,Ben McLemorePOR,SG,64,20.1,10.2,3.4,8.4,40.1,2.4,6.5,36.2,1.1,1.4,81.8,1.6,0.9,0.6,0.2,0.9,0,0,11.72
137,Max StrusMIA,SG,68,23.3,10.6,3.7,8.3,44.1,2.7,6.5,41,0.6,0.8,79.2,3,1.4,0.4,0.2,0.8,0,0,12.75
138,Bones HylandDEN,PG,69,19,10.1,3.3,8.3,40.3,1.9,5.2,36.6,1.6,1.8,85.6,2.7,2.8,0.6,0.3,1.2,1,0,14.44
139,Precious AchiuwaTOR,PF,73,23.6,9.1,3.6,8.3,43.9,0.8,2.1,35.9,1.1,1.8,59.5,6.5,1.1,0.5,0.6,1.2,6,0,12.69
140,Al HorfordBOS,C,69,29.1,10.2,3.9,8.2,46.7,1.3,3.8,33.6,1.2,1.4,84.2,7.7,3.4,0.7,1.3,0.9,15,0,16.71
141,Josh RichardsonBOS/SA,SG,65,24.6,10.2,3.6,8.2,43.8,1.6,3.8,41.5,1.5,1.7,88.9,2.8,1.8,0.9,0.4,1,0,0,12.8
142,Chuma OkekeORL,PF,70,25,8.6,3.1,8.2,37.6,1.7,5.3,31.8,0.8,0.9,84.6,5,1.7,1.4,0.6,0.8,3,0,12.08
143,P.J. WashingtonCHA,PF,65,27.2,10.3,3.8,8.2,47,1.7,4.6,36.5,0.9,1.2,71.6,5.2,2.3,0.9,0.9,1.3,3,0,13.6
144,Clint CapelaATL,C,74,27.6,11.1,5,8.2,61.3,0,0,0,1.1,2.3,47.3,11.9,1.2,0.7,1.3,0.6,35,0,21.43
145,Jae CrowderPHX,PF,67,28.1,9.4,3.2,8.1,39.9,1.9,5.4,34.8,1.1,1.3,78.9,5.3,1.9,1.4,0.4,0.8,1,0,11.33
146,Jaden McDanielsMIN,PF,70,25.8,9.2,3.6,7.9,46,1.1,3.6,31.7,0.8,1,80.3,4.2,1.1,0.7,0.8,1.1,0,0,10.31
147,Montrezl HarrellWSH/CHA,C,71,23.1,13.1,5,7.8,64.5,0.1,0.2,23.5,3,4.2,71.6,6.1,2,0.4,0.6,1,7,0,23.26
148,Rudy GobertUTAH,C,66,32.1,15.6,5.5,7.7,71.3,0,0.1,0,4.6,6.7,69,14.7,1.1,0.7,2.1,1.8,53,0,24.76
149,Pat ConnaughtonMIL,SG,65,26,9.9,3.5,7.6,45.8,2.2,5.7,39.5,0.7,0.8,83.3,4.2,1.3,0.9,0.2,0.5,0,0,13.45
150,Tyus JonesMEM,PG,73,21.2,8.7,3.4,7.6,45.1,1.1,2.8,39,0.7,0.9,81.8,2.4,4.4,0.9,0,0.6,2,0,16.55
151,Oshae BrissettIND,SF,67,23.3,9.1,3.1,7.6,41.1,1.2,3.5,35,1.7,2.4,69.5,5.3,1.1,0.7,0.4,0.8,5,0,12.92
152,Gabe VincentMIA,PG,68,23.4,8.7,3.1,7.5,41.7,1.8,4.8,36.8,0.6,0.8,81.5,1.9,3.1,0.9,0.2,1.4,0,0,10.64
153,Patrick BeverleyMIN,PG,58,25.4,9.2,3.1,7.5,40.6,1.4,4.2,34.3,1.7,2.3,72.2,4.1,4.6,1.2,0.9,1.3,2,0,14.8
154,Cam ThomasBKN,SG,67,17.6,8.5,3.3,7.5,43.3,0.7,2.6,27,1.3,1.6,82.9,2.4,1.2,0.5,0.1,0.8,0,0,11.8
155,Trey LylesSAC/DET,PF,75,20.5,10.5,3.5,7.5,46.6,0.9,2.8,32.1,2.6,3.2,80.2,5.1,1.2,0.4,0.4,1,3,0,16.47
156,Chimezie MetuSAC,PF,60,21.3,8.9,3.4,7.5,45.2,1,3.1,30.6,1.2,1.5,78,5.6,1,0.9,0.5,1,6,0,13.4
157,Aleksej PokusevskiOKC,F,61,20.2,7.6,3,7.5,40.8,0.9,3.2,28.9,0.6,0.8,70,5.2,2.1,0.6,0.6,1.5,5,1,12
158,Jordan NworaMIL,SF,62,19.1,7.9,3,7.5,40.3,1.3,3.7,34.8,0.6,0.7,83.7,3.6,1,0.4,0.3,0.9,3,0,9.96
159,Georges NiangPHI,SF,76,22.8,9.2,3.2,7.4,43.7,2.1,5.1,40.3,0.7,0.8,88.1,2.7,1.3,0.4,0.2,0.8,0,0,10.7
160,Herbert JonesNO,SF,78,29.9,9.5,3.5,7.4,47.6,0.7,2.2,33.7,1.8,2.1,84,3.8,2.1,1.7,0.8,1.3,1,0,12.35
161,Reggie BullockDAL,SF,68,28,8.6,3,7.4,40.1,2.1,5.8,36,0.6,0.7,83.3,3.5,1.2,0.6,0.2,0.6,0,0,9.25
162,Alperen SengunHOU,C,72,20.7,9.6,3.5,7.3,47.4,0.4,1.6,24.8,2.3,3.2,71.1,5.5,2.6,0.8,0.9,2,8,0,16.02
163,Chris BoucherTOR,PF,80,21.1,9.4,3.4,7.2,46.4,0.9,2.9,29.7,1.9,2.4,77.7,6.2,0.3,0.6,0.9,0.5,10,0,17.96
164,Bryn ForbesSA/DEN,SG,75,17.1,8.8,3.1,7.2,42.9,1.6,3.9,41.4,1.1,1.2,90.8,1.2,1,0.3,0.1,0.7,0,0,11.6
165,R.J. HamptonORL,PG,64,21.9,7.6,2.7,7.1,38.3,1,2.9,35,1.2,1.8,64.1,3,2.5,0.7,0.2,1.4,0,0,8.56
166,Garrison MathewsHOU,SG,65,26.3,10,2.8,7.1,39.9,2.1,5.9,36,2.2,2.8,79.4,2.9,1,0.9,0.4,0.6,0,0,11.02
167,Deni AvdijaWSH,SF,82,24.2,8.4,3,7.1,43.2,1,3.2,31.7,1.3,1.7,75.7,5.2,2,0.7,0.5,1.1,3,0,11.62
168,Jeff GreenDEN,PF,75,24.7,10.3,3.7,7.1,52.4,0.7,2.2,31.5,2.2,2.6,83.3,3.1,1.3,0.4,0.4,0.9,1,0,12.51
169,Landry ShametPHX,SG,69,20.8,8.3,2.8,7,39.4,1.8,4.8,36.8,1,1.2,84,1.8,1.6,0.4,0.1,0.6,0,0,10.23
170,Bruce BrownBKN,SF,72,24.6,9,3.6,7,50.6,0.5,1.3,40.4,1.3,1.8,75.8,4.8,2.1,1.1,0.7,0.8,1,0,15.03
171,Furkan KorkmazPHI,SG,67,21.1,7.6,2.7,7,38.7,1.1,4,28.9,1,1.3,81,2.6,1.9,0.5,0.1,0.7,1,0,10.22
172,Robert CovingtonPOR/LAC,PF,71,27.3,8.5,2.9,7,42,1.8,4.8,37.8,0.8,1,84.1,5.5,1.3,1.5,1.3,1.1,1,0,12.46
173,Brandon ClarkeMEM,PF,64,19.5,10.4,4.5,7,64.4,0.1,0.3,22.7,1.3,2,65.4,5.3,1.3,0.6,1.1,0.5,4,0,23.75
174,Killian HayesDET,PG,66,25,6.9,2.7,7,38.3,0.7,2.5,26.3,0.9,1.1,77,3.2,4.2,1.2,0.5,1.7,2,0,9.35
175,Ayo DosunmuCHI,SG,77,27.4,8.8,3.6,6.9,52,0.9,2.4,37.6,0.7,1,67.9,2.8,3.3,0.8,0.4,1.4,4,0,11.23
176,Isaiah StewartDET,C,71,25.6,8.3,3.5,6.9,51,0.2,0.6,32.6,1,1.5,71.8,8.7,1.2,0.3,1.1,1.2,12,0,14.05
177,Ziaire WilliamsMEM,SG,62,21.7,8.1,3.1,6.8,45,1.2,3.9,31.4,0.7,0.9,78.2,2.1,1,0.6,0.2,0.7,0,0,9.7
178,Caleb MartinMIA,SF,60,22.9,9.2,3.5,6.8,50.7,1.1,2.6,41.3,1.2,1.6,76.3,3.8,1.1,1,0.5,0.9,1,0,14.82
179,Kyle AndersonMEM,SF,69,21.5,7.6,3,6.8,44.6,0.5,1.6,33,1,1.5,63.8,5.3,2.7,1.1,0.7,1,2,0,14.49
180,Josh ChristopherHOU,SG,74,18,7.9,3,6.8,44.8,0.8,2.6,29.6,1.1,1.5,73.5,2.5,2,0.9,0.2,1.5,0,0,12.22
181,Amir CoffeyLAC,SG,69,22.7,9,3.1,6.8,45.3,1.4,3.7,37.8,1.5,1.7,86.3,2.9,1.8,0.6,0.2,0.7,1,0,13.08
182,Corey KispertWSH,SF,77,23.4,8.2,3,6.7,45.5,1.5,4.2,35,0.7,0.8,87.1,2.7,1.1,0.5,0.3,0.6,0,0,10.96
183,Jaylen NowellMIN,SG,62,15.7,8.5,3.2,6.7,47.5,1,2.6,39.4,1.2,1.5,78.3,2,2.1,0.4,0.2,0.6,0,0,16.89
184,Kenyon Martin Jr.HOU,F,79,21,8.8,3.5,6.6,53.3,0.8,2.1,35.7,1,1.6,63.4,3.8,1.3,0.4,0.5,0.8,2,0,14.38
185,Ish SmithWSH/CHA,PG,65,17.3,6.3,2.8,6.6,43,0.4,1,37.3,0.2,0.4,62.5,2.2,3.8,0.7,0.4,1.2,1,0,12.58
186,Otto Porter Jr.GS,SF,63,22.1,8.2,3.1,6.6,46.4,1.3,3.4,37,0.8,1,80.3,5.7,1.5,1.1,0.5,0.6,5,0,15.94
187,Jonathan KumingaGS,PF,70,16.9,9.3,3.4,6.6,51.3,0.7,2.1,33.6,1.9,2.7,68.4,3.3,0.9,0.4,0.3,1.1,2,0,15.29
188,Obi ToppinNY,PF,72,17.1,9,3.5,6.6,53.1,0.7,2.3,30.8,1.3,1.7,75.8,3.7,1.1,0.3,0.5,0.8,3,0,18.4
189,Nicolas BatumLAC,PF,59,24.8,8.3,3,6.6,46.3,1.8,4.6,40,0.4,0.6,65.8,4.3,1.7,1,0.7,0.7,0,0,13.51
190,Ivica ZubacLAC,C,76,24.4,10.3,4.1,6.5,62.6,0,0,0,2.2,3,72.7,8.5,1.6,0.5,1,1.5,25,0,19.25
191,Isaac OkoroCLE,SF,67,29.6,8.8,3.1,6.4,48,0.8,2.3,35,1.8,2.3,76.8,3,1.8,0.8,0.3,0.9,0,0,10.39
192,Raul NetoWSH,PG,70,19.6,7.5,2.9,6.3,46.3,0.5,1.7,29.2,1.2,1.5,76.9,1.9,3.1,0.8,0,1.1,0,0,12.49
193,Moritz WagnerORL,C,63,15.2,9,3.1,6.3,49.7,1,3.2,32.8,1.7,2,80.6,3.7,1.4,0.3,0.2,0.9,3,0,18.13
194,JaVale McGeePHX,C,74,15.8,9.2,3.9,6.2,62.9,0,0.1,22.2,1.4,2,69.9,6.7,0.6,0.3,1.1,1.3,10,0,22.65
195,Naz ReidMIN,C,77,15.8,8.3,3,6.2,49,0.7,2.2,34.3,1.5,1.9,76.5,3.9,0.9,0.5,0.9,1.1,4,0,17.27
196,Cory JosephDET,PG,65,24.6,8,2.7,6.2,44.5,1,2.4,41.4,1.5,1.7,88.5,2.7,3.6,0.6,0.3,1.3,0,0,11.42
197,Damion LeeGS,SG,63,20,7.4,2.7,6.1,44.1,1,3,33.7,1,1.2,88,3.2,1,0.6,0.1,0.6,0,0,10.9
198,Robert Williams IIIBOS,C,61,29.6,10,4.4,6,73.6,0,0,0,1.1,1.5,72.2,9.6,2,0.9,2.2,1,25,1,22.1
199,P.J. TuckerMIA,PF,71,27.9,7.6,2.9,6,48.4,1.1,2.7,41.5,0.6,0.9,73.8,5.5,2.1,0.8,0.2,0.9,5,0,11.35
200,Maxi KleberDAL,PF,59,24.6,7,2.4,6,39.8,1.4,4.3,32.5,0.8,1.1,70.8,5.9,1.2,0.5,1,0.8,2,0,10.98
201,Cody MartinCHA,SF,71,26.3,7.7,2.9,6,48.2,0.9,2.2,38.4,1.1,1.5,70.1,4,2.5,1.2,0.5,0.9,0,0,12.73
202,Andre DrummondBKN/PHI,C,73,19.7,7.9,3.4,5.9,57,0,0,0,1.2,2.2,52.4,9.3,1.8,1.1,0.9,1.6,18,0,21.04
203,Royce O'NealeUTAH,PF,77,31.2,7.4,2.6,5.8,45.7,1.5,4,38.9,0.6,0.7,80.4,4.8,2.5,1.1,0.4,1,3,0,10.31
204,Daniel GaffordWSH,C,72,20.1,9.4,4,5.7,69.3,0,0,0,1.5,2.1,69.9,5.7,0.9,0.4,1.4,0.9,8,0,21.81
205,Jaxson HayesNO,C,70,20,9.3,3.5,5.7,61.6,0.3,0.8,35.1,2.1,2.7,76.6,4.5,0.6,0.5,0.8,0.8,4,0,18.56
206,Torrey CraigIND/PHX,SF,78,20.5,6.6,2.6,5.7,45.4,1,3,32.9,0.5,0.7,75,4,1.2,0.6,0.5,0.9,3,0,11.03
207,Taurean PrinceMIN,PF,69,17.1,7.3,2.6,5.7,45.4,1.2,3.3,37.6,0.9,1.2,75.6,2.5,1,0.7,0.3,0.8,0,0,12.47
208,Avery BradleyLAL,PG,62,22.7,6.4,2.4,5.6,42.3,1.3,3.4,39,0.3,0.3,88.9,2.2,0.8,0.9,0.1,0.6,0,0,7.87
209,Grant WilliamsBOS,PF,77,24.4,7.8,2.7,5.6,47.5,1.4,3.4,41.1,1.1,1.2,90.5,3.6,1,0.5,0.7,0.8,1,0,11.26
210,Wayne EllingtonLAL,SG,43,18.8,6.7,2.3,5.5,41.3,1.9,4.9,38.9,0.2,0.3,81.8,1.8,0.7,0.5,0.1,0.4,0,0,9.94
